Transaction_ID,Transaction_Date,Customer_ID,Gender,Age,City,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price_VND,Revenue,Source_Currency,Rating,Customer_Review,Original_Price,Discount_Price,Original_Price_VND,Discount_Price_VND,avg_rating,reviews_count,rating_average,review_count,quantity_sold,availability,is_for_sale,description,product_type,category_2,category_3,manufacturer,current_seller,fulfillment_type,date_created,number_of_images,favourite_count,has_video,Source
T000001,2026-05-27 07:53:23,C01049,Male,31,TP. Hồ Chí Minh,173798774,Hũ chiết kem dưỡng cao cấp nút nhân Rabbit Lab 30gr,Túi chống sốc,OEM,3,37000,111000,VND,4,"Với trải nghiệm này, tôi có trải nghiệm tích cực và nhìn chung hài lòng với sản phẩm.",37000,37000,37000.0,37000.0,,,0.0,0.0,0.0,,,"       MÔ TẢ SẢN PHẨM:   - Hủ chiết kem dưỡng cao cấp nút nhấn Rabbit Lab được sử dụng để chiết tách, đựng kem nền, serum  Tiện lợi cho những chuyến du lịch, chuyến công tác xa. Chất liệu cao cấp...",,,,,Rabbit Lab,dropship,525.0,3.0,0.0,False,Tiki
T000002,2025-11-03 05:40:50,C00099,Female,47,Vũng Tàu,24659536,Bộ Chiết Mỹ Phẩm Du Lịch,Thời Trang,OEM,3,23750,71250,VND,3,"Với trải nghiệm này, sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",25000,23750,25000.0,23750.0,,,0.0,0.0,3.0,,,"***Bộ dụng cụ triết mỹ phẩm du lịch: 1 Bộ gồm : 2 lọ nhỏ (3x2cm) dùng chiết kem dưỡng da, sữa rửa mặt, các loại mỹ phẩm khác… 1 muỗng + phễu san mỹ phẩm (9cm). 1 bình dạng xịt phun sương (40ml): ...",,,,,Hitech07,dropship,1504.0,7.0,0.0,False,Tiki
T000003,2025-09-30 17:07:01,C00503,Male,23,Huế,16683725,Balo túi du lịch đa năng Ozuko Z9060 (Đen),Thời Trang,OZUKO,1,1010000,1010000,VND,2,"Theo cảm nhận của tôi, sản phẩm vẫn dùng được nhưng chưa khiến tôi cảm thấy hài lòng.",1010000,1010000,1010000.0,1010000.0,,,5.0,1.0,5.0,,,"THIẾT KẾ KHÉO LÉO:Ba lô Laptop thời trang cao cấp Ozuko Design có kích thước vừa đủ lớn để có thể chứa được tất cả các vật dụng cần thiết một cách thoải mái . Các khoang chứa, các vách ngăn được th...",,,,,Tỷ Lợi,dropship,1572.0,3.0,0.0,False,Tiki
T000004,2026-07-05 23:45:05,C00810,Male,59,Hà Nội,570490,Túi Kéo Du Lịch Macat Innova 4 - Đỏ,Thời Trang,Macat,2,585000,1170000,VND,3,"Theo cảm nhận của tôi, sản phẩm đáp ứng nhu cầu cơ bản nhưng chưa tạo được nhiều ấn tượng.",585000,585000,585000.0,585000.0,,,5.0,2.0,17.0,,,"Túi Kéo Du Lịch Macat Innova 4 - Đỏ có thiết kế mô phỏng hình cánh buồm đầy tinh tế và thời thượng, giúp cho những chuyến hành trình của bạn thêm phần thú vị hơn. Túi có kiểu dáng phong cách thể thao,...",,,,,MACAT OFFICIAL,dropship,0.0,5.0,0.0,False,Tiki
T000005,2026-01-05 19:27:32,C00241,Female,59,TP. Hồ Chí Minh,325087836,Nicola Spring Coir Door Mat - 60 x 40cm - Black Star,Marketplace,Nicola Spring,3,347232,1041696,GBP,2,Trải nghiệm chưa tốt và sản phẩm cần cải thiện thêm để đáp ứng mong đợi.,9.99,9.99,347232.0,347232.0,\N,\N,,,,in_stock,True,"The range of Natural Coir Non-Slip Door Mats from Nicola Spring offers a quick and easy way to show off your personality, and create an inviting home environment for your guests right from their very first step inside. Crafted from natural coir coconut fibres, these welcome mats provide an innate strength and durability that is perfectly suited to brushing dirt, dust, mud and muck from the soles of your shoes. A non-slip PVC backing traps moisture and water, while keeping your interior carpets protected. Coming in two sizes - 40 x 60cm and 60 x 90cm - this doormat comes decorated with a striking single black star design that is sure to feel at home in a wide variety of decor styles. To clean, simply beat while hanging outside with a sturdy broom handle, then brush through with a small amount of water before laying flat to dry. With the Nicola Spring collection of Natural Coir Non-Slip Welcome Mats, your door is always open. Shop the range today.",SingleProduct,Home Accessories,Rugs & Mats,\N,,,,,,,Tesco
T000006,2025-12-25 02:33:27,C00187,Female,22,Huế,325088359,Outsunny 3(m) Half Round Parasol Garden Sun Umbrella with Crank Black,Marketplace,Outsunny,2,1355214,2710428,GBP,1,"Trải nghiệm với sản phẩm rất tệ, khiến tôi cảm thấy không hài lòng.",38.99,38.99,1355214.0,1355214.0,\N,\N,,,,in_stock,True,"This wall parasol from Outsunny is a great addition to anyone who wishes to have a patio umbrella but has limited space. This has been designed so that the pole can stand flush against a wall. Our balcony sun umbrella is ideal for balconies or small gardens. The unit is made from a metal frame and the covering is durable polyester. This solar parasol is a great product and a great solution for any balcony or patio.
 Colour: Black
 Material: Metal, Polyester
 Overall Dimensions: 293L x 150W x 249H cm
 Rib Size: 18L x 12W x 0.5T mm
 Post Size: 38 x 0.7 mm
 Custom Label: 84D-008V00BK
 NOTE: The parasol should be used against the wall",SingleProduct,Garden & DIY,Garden Furniture,\N,,,,,,,Tesco
T000007,2025-12-16 16:28:29,C00431,Male,37,Huế,171771083,cặp đựng laptop D2 ,Root,OEM,2,827000,1654000,VND,4,Tôi hài lòng với trải nghiệm này vì sản phẩm đáp ứng tốt các mong đợi của mình.,827000,827000,827000.0,827000.0,,,0.0,0.0,0.0,,,"       cặp đựng laptop D2   Cặp khóa số đẹp, sang trọng, lịch sự, đẳng cấp có mật mã bảo vệ đảm bảo an toàn cho giấy tờ và tài sản bên trong   Cặp khóa số dành cho các Lãnh đạo, người đứng đầu, ...",,,,,Phụ Kiện Thể Thao Tiến Sport,dropship,537.0,7.0,0.0,False,Tiki
T000008,2025-11-14 04:35:15,C00999,Female,50,Đà Lạt,120114767,Vali khoá sập HÀNG LOẠI 1 lót xanh tặng kèm túi vải bọc,Vali nhựa,OEM,2,1300000,2600000,VND,2,"Với trải nghiệm này, trải nghiệm chưa tốt và sản phẩm cần cải thiện thêm để đáp ứng mong đợi.",1300000,1300000,1300000.0,1300000.0,,,5.0,2.0,3.0,,,MẪU NÀY LÀ MẪU KHUNG NHÔM DÀY DẶN- CHẮC CHẮN NHẤT TRONG TẤT CẢ CÁC DÒNG VALI KHUNG NHÔM MÌNH BÁN! THỰC SỰ BÁN RẤT NHIỀU NĂM RỒI- KHÔNG THỂ CHÊ ĐƯỢC ĐIỂM GÌ- KIỂU DÁNG PHỔ THÔNG KHÔNG BAO GIỜ LỖI MỐT Ạ...,,,,,VALI BEN DEP,dropship,744.0,5.0,0.0,True,Tiki
T000009,2026-07-04 00:24:33,C01287,Female,47,Vũng Tàu,20240540,Vali Sakos ELITE 4.5,Thời Trang,Sakos,4,2174000,8696000,VND,4,Tôi hài lòng với trải nghiệm này vì sản phẩm đáp ứng tốt các mong đợi của mình.,2265000,2174000,2265000.0,2174000.0,,,5.0,3.0,15.0,,,"Dòng vali thế hệ mới Elite mang đến cho bạn một giải pháp lý tưởng về sự tinh tế và gọn nhẹ, xóa tan nỗi ám ảnh về những chuyến đi phải mang vác cồng kềnh và lỉnh kỉnh đ...",,,,,SAKOS Official Store,dropship,1548.0,6.0,0.0,False,Tiki
T000010,2025-10-30 19:19:27,C01579,Female,51,Cần Thơ,79837290,Bộ chiết mỹ phẩm du lịch tiện dụng,Root,OEM,1,29000,29000,VND,5,"Ở góc độ người dùng, tôi rất hài lòng vì sản phẩm đáp ứng rất tốt mong đợi của mình.",29000,29000,29000.0,29000.0,,,0.0,0.0,0.0,,,"       - Bộ sản phẩm bao gồm: 2 chai nắp vặn 10g , 2 bình xịt phun sương 40ml , 1 bình vòi ấn 40ml và 1 dụng cụ bơm hút.   - Chất liệu nhựa trong suốt bền, đẹp và chống va đập tốt.   - Thiết kế ...",,,,,Bách Hóa Huong Trang 2019,dropship,893.0,9.0,0.0,False,Tiki
