Transaction_ID,Customer_ID,Product_ID,Transaction_Date,Quantity,Unit_Price_VND,Revenue,Rating,Customer_Review,Gender,Age,City
T000001,C01448,53111744,2026-05-24 07:53:23,2,119000,238000,1,Tôi cảm thấy rất thất vọng vì sản phẩm không đáp ứng được kỳ vọng.,Female,39,Huế
T000002,C01236,10159834,2025-10-31 05:40:50,3,38458,115374,3,"Trải nghiệm không quá tốt, và không có gì nổi bật.",Male,47,Vũng Tàu
T000003,C00811,10169434,2025-09-27 17:07:01,1,593100,593100,4,Tôi có trải nghiệm tích cực và nhìn chung hài lòng với sản phẩm.,Female,63,Đà Nẵng
T000004,C00809,174036467,2026-07-02 23:45:05,3,359000,1077000,5,Trải nghiệm với sản phẩm rất tích cực và khiến tôi hoàn toàn hài lòng.,Female,56,Đà Lạt
T000005,C01558,45468604,2026-01-02 19:27:32,1,503000,503000,4,"Với trải nghiệm này, tôi có trải nghiệm tích cực và nhìn chung hài lòng với sản phẩm.",Female,50,Hải Phòng
T000006,C00779,191800394,2025-12-22 02:33:27,5,221000,1105000,3,"Trải nghiệm không quá tốt, và không có gì nổi bật.",Female,47,TP. Hồ Chí Minh
T000007,C01417,170104951,2025-12-13 16:28:29,4,50000,200000,4,Tôi có trải nghiệm khá tích cực và sản phẩm đáp ứng tốt nhu cầu của mình.,Female,64,Đà Lạt
T000008,C01554,325086364,2025-11-11 04:35:15,1,590538,590538,3,"Sản phẩm dùng được, không quá tốt, nhưng cũng không quá tệ.",Female,50,TP. Hồ Chí Minh
T000009,C01815,325087957,2026-07-01 00:24:33,2,469233,938466,3,"Với trải nghiệm này, sản phẩm đáp ứng nhu cầu cơ bản nhưng chưa tạo được nhiều ấn tượng.",Male,40,Huế
T000010,C01071,263025602,2025-10-27 19:19:27,4,40000,160000,1,Trải nghiệm với sản phẩm rất tồi tệ và tôi không hài lòng với kết quả.,Male,28,Vũng Tàu
T000011,C00495,59460075,2026-06-07 19:17:46,1,50000,50000,2,"Với trải nghiệm này, sản phẩm chưa đáp ứng tốt kỳ vọng và trải nghiệm còn khá hạn chế.",Male,43,TP. Hồ Chí Minh
T000012,C01017,179422211,2026-07-02 15:31:25,2,690000,1380000,1,Tôi không hài lòng với trải nghiệm sử dụng sản phẩm.,Female,53,Huế
T000013,C00116,47320881,2026-08-30 11:42:58,2,404100,808200,2,Trải nghiệm chưa tốt và sản phẩm cần cải thiện thêm để đáp ứng mong đợi.,Female,64,Hà Nội
T000014,C01547,134293575,2026-04-17 19:11:04,5,360000,1800000,5,Tôi rất hài lòng với trải nghiệm sử dụng sản phẩm vì nó đáp ứng tốt những mong đợi của mình.,Female,36,Đà Nẵng
T000015,C00503,16683725,2025-10-21 18:19:43,1,1010000,1010000,2,"Theo cảm nhận của tôi, sản phẩm vẫn dùng được nhưng chưa khiến tôi cảm thấy hài lòng.",Female,36,Cần Thơ
T000016,C00810,570490,2026-05-05 07:47:20,2,585000,1170000,3,"Theo cảm nhận của tôi, sản phẩm đáp ứng nhu cầu cơ bản nhưng chưa tạo được nhiều ấn tượng.",Male,28,Nha Trang
T000017,C00241,325087836,2026-02-28 20:35:47,3,347232,1041696,2,Trải nghiệm chưa tốt và sản phẩm cần cải thiện thêm để đáp ứng mong đợi.,Female,33,Vũng Tàu
T000018,C00187,325088359,2025-09-30 08:14:09,2,1355214,2710428,1,"Trải nghiệm với sản phẩm rất tệ, khiến tôi cảm thấy không hài lòng.",Male,43,Biên Hòa
T000019,C00431,171771083,2025-09-29 13:43:48,2,827000,1654000,4,Tôi hài lòng với trải nghiệm này vì sản phẩm đáp ứng tốt các mong đợi của mình.,Female,45,Hà Nội
T000020,C00999,120114767,2025-10-24 09:18:10,2,1300000,2600000,2,"Với trải nghiệm này, trải nghiệm chưa tốt và sản phẩm cần cải thiện thêm để đáp ứng mong đợi.",Male,45,Đà Lạt
T000021,C01287,20240540,2025-12-11 21:51:13,4,2174000,8696000,4,Tôi hài lòng với trải nghiệm này vì sản phẩm đáp ứng tốt các mong đợi của mình.,Female,49,Huế
